,0
0,
1,
2,シラバス
3,
4,
5,10806011
6,学部
7,"○文化情報学入門
Introduction to Culture and Information Science"
8,"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
深川　大路
石岡　学
大塚　幸生
玉谷　充
柳沢　英輔
原　尚幸
河瀬　彰宏
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"
9,京田辺
10,2単位
11,
12,10806012-001
13,学部
14,"△コロキアム-1
Colloquium-1"
15,"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
下嶋　篤
杉本　裕二
宿久　洋
深川　大路
石岡　学
柳沢　英輔
原　尚幸
川﨑　廣𠮷
山内　信幸
田中　雄"
16,京田辺
17,1単位
18,
19,10806012-002
20,学部
21,"△コロキアム-2
Colloquium-2"
22,"金　明哲
阪田　真己子
下嶋　篤
津村　宏臣
杉尾　武志
矢野　環
波多野　賢治
大塚　幸生
玉谷　充
河瀬　彰宏
浦部　治一郎
田口　哲也
沈　力
中安　真理"
23,京田辺
24,1単位
25,
26,10806013
27,学部
28,"△ジョイント・リサーチ演習１
Joint Research Practicum 1"
29,"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
矢野　環
大浦　真
柳沢　英輔
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"
30,京田辺
31,1単位
32,
33,10806021
34,学部
35,"△ジョイント・リサーチ演習２
Joint Research Practicum 2"
36,"金　明哲
阪田　真己子
下嶋　篤
杉尾　武志
鄭　躍軍
松田　佳尚
石岡　学
大塚　幸生
河瀬　彰宏
浦部　治一郎
藤田　成隆
濱田　大佐"
37,京田辺
38,1単位
39,
40,10806022
41,学部
42,"○ジョイント・リサーチ演習３
Joint Research Practicum 3"
43,"阪田　真己子
宿久　洋
竹野　倫彰
玉谷　充
原　尚幸
河瀬　彰宏"
44,京田辺
45,1単位
46,
47,10806031-002
48,学部
49,"○ジョイント・リサーチⅠ-2
Joint Research I-2"
50,"宿久　洋
波多野　賢治
深川　大路"
51,京田辺
52,1単位
53,
54,10806031-007
55,学部
56,"○ジョイント・リサーチⅠ-7
Joint Research I-7"
57,"川﨑　廣𠮷
沈　力"
58,京田辺
59,1単位
60,
61,10806031-010
62,学部
63,"○ジョイント・リサーチⅠ-10
Joint Research I-10"
64,"石岡　学
山内　信幸
田口　哲也"
65,京田辺
66,1単位
67,
68,10806031-011
69,学部
70,"○ジョイント・リサーチⅠ-11
Joint Research I-11"
71,"津村　宏臣
杉本　裕二
岸田　徹"
72,京田辺
73,1単位
74,
75,10806031-012
76,学部
77,"○ジョイント・リサーチⅠ-12
Joint Research I-12"
78,"浦部　治一郎
川﨑　廣𠮷"
79,京田辺
80,1単位
81,
82,10806031-015
83,学部
84,"○ジョイント・リサーチⅠ-15
Joint Research I-15"
85,"伊藤　紀子
阪田　真己子"
86,京田辺
87,1単位
88,
89,10806031-016
90,学部
91,"○ジョイント・リサーチⅠ-16
Joint Research I-16"
92,"星　英仁
杉尾　武志
大塚　幸生"
93,京田辺
94,1単位
95,
96,10806031-017
97,学部
98,"○ジョイント・リサーチⅠ-17
Joint Research I-17"
99,"金　明哲
鄭　躍軍"
100,京田辺
101,1単位
102,
103,10806031-019
104,学部
105,"○ジョイント・リサーチⅠ-19
Joint Research I-19"
106,"星　英仁
沈　力
田中　雄"
107,京田辺
108,1単位
109,
110,10806031-021
111,学部
112,"○ジョイント・リサーチⅠ-21
Joint Research I-21"
113,"津村　宏臣
杉本　裕二
岸田　徹"
114,京田辺
115,1単位
116,
117,10806031-024
118,学部
119,"○ジョイント・リサーチⅠ-24
Joint Research I-24"
120,"福田　智子
深川　大路
河瀬　彰宏"
121,京田辺
122,1単位
123,
124,10806031-025
125,学部
126,"○ジョイント・リサーチⅠ-25
Joint Research I-25"
127,"福田　智子
矢野　環
髙橋　美都"
128,京田辺
129,1単位
130,
131,10806031-027
132,学部
133,"○ジョイント・リサーチⅠ-27
Joint Research I-27"
134,"玉谷　充
原　尚幸"
135,京田辺
136,1単位
137,
138,10806031-028
139,学部
140,"○ジョイント・リサーチⅠ-28
Joint Research I-28"
141,"石岡　学
河瀬　彰宏"
142,京田辺
143,1単位
144,
